customer_state,median_score,avg_score,n_orders,pct_negative,median_delay,pct_late
AL,4.0,3.8477157360406093,394,21.31979695431472,-9.619849537037037,23.3502538071066
RR,4.0,3.902439024390244,41,14.634146341463413,-19.057766203703704,12.195121951219512
MA,4.0,3.832865168539326,712,19.9438202247191,-10.023373842592594,19.241573033707866
AC,5.0,4.0875,80,15.0,-21.197366898148147,3.75
SE,5.0,3.907185628742515,334,18.862275449101794,-12.154427083333335,14.97005988023952
SC,5.0,4.133560670645069,3519,12.986643932935493,-12.10224537037037,9.633418584825234
RS,5.0,4.18490707715412,5327,11.920405481509293,-14.028159722222222,7.095926412614981
RO,5.0,4.1652892561983474,242,11.983471074380166,-20.179131944444443,2.8925619834710745
RN,5.0,4.150743099787686,471,12.951167728237792,-14.424212962962963,10.615711252653929
RJ,5.0,3.965440995823438,12211,18.32773728605356,-12.262222222222222,13.291294734255999
PR,5.0,4.239795918367347,4900,10.877551020408163,-13.098599537037039,4.918367346938775
PI,5.0,3.9936305732484074,471,16.13588110403397,-13.04605324074074,15.92356687898089
PE,5.0,4.082963901203294,1579,14.81950601646612,-13.697662037037038,10.639645345155161
PB,5.0,4.076171875,512,14.84375,-13.366006944444443,10.7421875
PA,5.0,3.9142550911039655,933,17.89924973204716,-15.099074074074077,11.89710610932476
MT,5.0,4.145620022753128,879,12.741751990898747,-14.2646875,6.598407281001138
MS,5.0,4.161659513590844,699,13.304721030042918,-11.437534722222225,11.587982832618025
MG,5.0,4.192290651307045,11285,11.750110766504209,-13.12082175925926,5.5117412494461675
GO,5.0,4.105858170606372,1946,13.1551901336074,-12.334317129629628,7.965056526207605
ES,5.0,4.078720162519045,1969,13.814118842051803,-11.192604166666667,11.884205180294567
DF,5.0,4.131400966183575,2070,13.236714975845409,-12.051863425925927,7.101449275362319
CE,5.0,3.9442262372348784,1273,17.124901806755695,-12.273969907407407,15.239591516103692
BA,5.0,3.930628677609167,3229,17.002167853824712,-11.768171296296297,13.719417776401363
AP,5.0,4.242424242424242,66,6.0606060606060606,-21.2951099537037,4.545454545454546
AM,5.0,4.243055555555555,144,13.194444444444445,-18.223761574074075,4.166666666666666
SP,5.0,4.245822263054652,40273,10.687060809971943,-10.288431712962963,5.832691877933106
TO,5.0,4.153846153846154,273,12.087912087912088,-12.615532407407407,12.82051282051282
