feature,coefficient,abs_coefficient,cv_auc
Delivery Delay,0.7245440765323901,0.7245440765323901,0.7278935690180035
Seller Avg Score,-0.539807352865814,0.539807352865814,0.7278935690180035
State (freq),-0.1817003477857921,0.1817003477857921,0.7278935690180035
Category (freq),0.028307153840548167,0.028307153840548167,0.7278935690180035
