seller_id,avg_score,median_score,n_orders,pct_negative,seller_state,seller_city,flag
04fdea0c111866e6cf812f1570d6b5bd,3.5,3.5,8,25.0,SP,sao paulo,False
0509040ea3fe50071181bbc359eb7738,4.476744186046512,5.0,86,1.1627906976744187,MG,belo horizonte,False
052577151711aec5c744fe12e66db3e1,5.0,5.0,1,0.0,SC,rodeio,False
054694fa03fe82cec4b7551487331d74,3.4,4.0,20,30.0,SP,itajobi,False
056b4ada5bbc2c50cc7842547dda6b51,4.2063492063492065,5.0,63,12.698412698412698,RJ,queimados,False
0570350b23eda5444f8d1d9544932058,5.0,5.0,6,0.0,SP,sao paulo,False
05730013efda596306417c3b09302475,5.0,5.0,4,0.0,SC,criciuma,False
058cb5aeb36d7c0fcae20fc85d5e0a59,3.8181818181818183,4.0,11,18.181818181818183,RJ,rio de janeiro,False
058fd0aa2bfdb2274e05e1ae971dabb6,4.423728813559322,5.0,59,8.47457627118644,SP,santo andre,False
05a48cc8859962767935ab9087417fbb,5.0,5.0,1,0.0,SP,sao paulo,False
05a940b4ecae36cadfd8e93bd9c43257,4.222222222222222,5.0,9,11.11111111111111,GO,goiania,False
05aebce0b5c8f0d41b29b686f2d05fd3,5.0,5.0,2,0.0,SP,sao paulo,False
05ca864204d09595ae591b93ea9cf93d,5.0,5.0,1,0.0,SP,barueri,False
05d2173d43ea568aa0540eba70d2ca76,4.183333333333334,5.0,60,11.666666666666666,MG,alfenas,False
05e107217c7266362fd44b75b2cd4cc4,4.2,4.0,5,0.0,SP,sao paulo - sp,False
05f51e13da97139648b8125c31e5f51b,4.228070175438597,5.0,57,14.035087719298245,MG,belo horizonte,False
05feb94f19d094d4b0f9281f0b1d4c99,4.5,4.5,6,0.0,SP,mogi das cruzes,False
05ff92fedb5be47920fea08e501238b9,4.315789473684211,5.0,57,5.263157894736842,RS,santo angelo,False
062c325cd6a2b87845fab56b4ec2eeae,5.0,5.0,2,0.0,SP,sao paulo,False
062ce95fa2ad4dfaedfc79260130565f,4.092592592592593,5.0,54,9.25925925925926,RS,lajeado,False
06532f10282704ef4c69168b914b77be,4.714285714285714,5.0,7,0.0,PR,paincandu,False
06579cb253ecd5a3a12a9e6eb6bf8f47,4.166666666666667,5.0,60,13.333333333333334,SP,sao paulo - sp,False
066a6914e1ebf3ea95a216c73a986b91,4.140625,5.0,64,10.9375,PR,foz do iguacu,False
0691148aee60ca47977c187804f935ae,4.170212765957447,5.0,47,14.893617021276595,PR,londrina,False
0692610d8abe24f287e9fae90ea0bbee,4.0,4.0,4,0.0,SP,sao paulo,False
06a2c3af7b3aee5d69171b0e14f0ee87,4.018229166666667,5.0,384,15.885416666666666,MA,sao luis,False
06bb3a2fe5e7b7a845b13e8fb91bd944,4.588235294117647,5.0,17,0.0,MG,belo horizonte,False
06df0c10d34e459d9672bc77388742eb,4.346153846153846,5.0,26,7.6923076923076925,PR,maringa,False
06e5eefc71ec47ae763c5c6f8db7064f,3.977272727272727,4.0,88,13.636363636363635,RS,porto alegre,False
07017df32dc5f2f1d2801e579548d620,4.0,5.0,8,25.0,PB,joao pessoa,False
070d165398b553f3b4b851c216b8a358,3.3666666666666667,4.0,30,33.33333333333333,SP,sao paulo,True
